userid,day_of_registeration,day_of_first_deposit,deposit_date,adkey,Rake,
22466515,"August 19, 2020","August 21, 2020",21-08-2020,Mobile_HPheaderJulySet4_button,102 ,
21395521,"August 1, 2020","August 18, 2020",18-08-2020,Mobile_HPheaderJulySet4_button,100 ,
22772175,"August 25, 2020","August 25, 2020",25-08-2020,Mobile_HPheaderJulySet4_button,99 ,
21241519,"July 29, 2020","August 1, 2020",01-08-2020,Mobile_HPheaderJulySet4_button,98 ,
22734900,"August 25, 2020","August 25, 2020",25-08-2020,Mobile_HPheaderJulySet4_button,98 ,
22784432,"August 26, 2020","August 26, 2020",26-08-2020,Mobile_HPheaderJulySet4_button,97 ,
22775651,"August 26, 2020","August 27, 2020",27-08-2020,Mobile_HPheaderJulySet4_button,96 ,
21893002,"August 9, 2020","August 12, 2020",12-08-2020,Mobile_HPheaderJulySet4_button,95 ,
22475241,"August 20, 2020","August 20, 2020",20-08-2020,Mobile_HPheaderJulySet4_button,95 ,
22263140,"August 16, 2020","August 20, 2020",20-08-2020,Mobile_HPheaderJulySet4_button,94 ,
22662464,"August 23, 2020","August 24, 2020",24-08-2020,Mobile_HPheaderJulySet4_button,92 ,
22167185,"August 14, 2020","August 14, 2020",14-08-2020,Mobile_HPheaderJulySet4_button,91 ,
22390919,"August 18, 2020","August 18, 2020",18-08-2020,Mobile_HPheaderJulySet4_button,91 ,
22042617,"August 12, 2020","August 20, 2020",20-08-2020,Mobile_HPheaderJulySet4_button,90 ,
22129418,"August 13, 2020","August 13, 2020",13-08-2020,Mobile_HPheaderJulySet4_button,90 ,
21185045,"July 29, 2020","July 29, 2020",29-07-2020,Mobile_HPheaderJulySet4_button,89 ,
21415818,"August 1, 2020","August 5, 2020",05-08-2020,Mobile_HPheaderJulySet4_button,89 ,
21437932,"August 2, 2020","August 2, 2020",02-08-2020,Mobile_HPheaderJulySet4_button,89 ,
21411267,"August 1, 2020","August 3, 2020",03-08-2020,Mobile_HPheaderJulySet4_button,88 ,
22763635,"August 25, 2020","August 25, 2020",25-08-2020,Mobile_HPheaderJulySet4_button,88 ,
22307444,"August 17, 2020","August 17, 2020",17-08-2020,Mobile_HPheaderJulySet4_button,87 ,
22752150,"August 25, 2020","August 25, 2020",25-08-2020,Mobile_HPheaderJulySet4_button,87 ,
21783852,"August 8, 2020","August 8, 2020",08-08-2020,Mobile_HPheaderJulySet4_button,85 ,
21491217,"August 2, 2020","August 3, 2020",03-08-2020,Mobile_HPheaderJulySet4_button,84 ,
22574903,"August 22, 2020","August 26, 2020",26-08-2020,Mobile_HPheaderJulySet4_button,84 ,
21524104,"August 3, 2020","August 3, 2020",03-08-2020,Mobile_HPheaderJulySet4_button,83 ,
22202674,"August 15, 2020","August 15, 2020",15-08-2020,Mobile_HPheaderJulySet4_button,83 ,
22108276,"August 13, 2020","August 14, 2020",14-08-2020,Mobile_HPheaderJulySet4_button,78 ,
22572387,"August 22, 2020","August 22, 2020",22-08-2020,Mobile_HPheaderJulySet4_button,78 ,
21313461,"July 31, 2020","July 31, 2020",31-07-2020,Mobile_HPheaderJulySet4_button,76 ,
22076988,"August 12, 2020","August 20, 2020",20-08-2020,Mobile_HPheaderJulySet4_button,76 ,
21396816,"August 1, 2020","August 1, 2020",01-08-2020,Mobile_HPheaderJulySet4_button,74 ,
21496690,"August 2, 2020","August 16, 2020",16-08-2020,Mobile_HPheaderJulySet4_button,73 ,
22912208,"August 28, 2020","August 28, 2020",28-08-2020,Mobile_HPheaderJulySet4_button,73 ,
22656489,"August 23, 2020","August 26, 2020",26-08-2020,Mobile_HPheaderJulySet4_button,68 ,
23030507,"August 31, 2020","August 31, 2020",31-08-2020,Mobile_HPheaderJulySet4_button,68 ,
22683010,"August 24, 2020","August 24, 2020",24-08-2020,Mobile_HPheaderJulySet4_button,67 ,
22529492,"August 21, 2020","August 27, 2020",27-08-2020,Mobile_HPheaderJulySet4_button,66 ,
21601761,"August 4, 2020","August 6, 2020",06-08-2020,Mobile_HPheaderJulySet4_button,65 ,
22695881,"August 24, 2020","August 25, 2020",25-08-2020,Mobile_HPheaderJulySet4_button,65 ,
22766456,"August 25, 2020","August 25, 2020",25-08-2020,Mobile_HPheaderJulySet4_button,65 ,
22093224,"August 13, 2020","August 16, 2020",16-08-2020,Mobile_HPheaderJulySet4_button,62 ,
21217569,"July 29, 2020","July 31, 2020",31-07-2020,Mobile_HPheaderJulySet4_button,61 ,
21707342,"August 6, 2020","August 6, 2020",06-08-2020,Mobile_HPheaderJulySet4_button,61 ,
21295844,"July 30, 2020","July 30, 2020",30-07-2020,Mobile_HPheaderJulySet4_button,60 ,
21476578,"August 2, 2020","August 19, 2020",19-08-2020,Mobile_HPheaderJulySet4_button,59 ,
21742484,"August 7, 2020","August 7, 2020",07-08-2020,Mobile_HPheaderJulySet4_button,59 ,
21261861,"July 30, 2020","August 15, 2020",15-08-2020,Mobile_HPheaderJulySet4_button,57 ,
22819921,"August 26, 2020","August 26, 2020",26-08-2020,Mobile_HPheaderJulySet4_button,57 ,
21601713,"August 4, 2020","August 5, 2020",05-08-2020,Mobile_HPheaderJulySet4_button,56 ,
22201965,"August 15, 2020","August 15, 2020",15-08-2020,Mobile_HPheaderJulySet4_button,56 ,
22319329,"August 17, 2020","August 24, 2020",24-08-2020,Mobile_HPheaderJulySet4_button,56 ,
22717435,"August 24, 2020","August 30, 2020",30-08-2020,Mobile_HPheaderJulySet4_button,55 ,
21276365,"July 30, 2020","August 3, 2020",03-08-2020,Mobile_HPheaderJulySet4_button,54 ,
21441902,"August 2, 2020","August 4, 2020",04-08-2020,Mobile_HPheaderJulySet4_button,54 ,
21767148,"August 7, 2020","August 7, 2020",07-08-2020,Mobile_HPheaderJulySet4_button,54 ,
21774544,"August 7, 2020","August 7, 2020",07-08-2020,Mobile_HPheaderJulySet4_button,54 ,
22604553,"August 22, 2020","August 24, 2020",24-08-2020,Mobile_HPheaderJulySet4_button,54 ,
21418651,"August 1, 2020","August 1, 2020",01-08-2020,Mobile_HPheaderJulySet4_button,53 ,
21090057,"July 27, 2020","July 27, 2020",27-07-2020,Mobile_HPheaderJulySet4_button,51 ,
21892004,"August 9, 2020","August 10, 2020",10-08-2020,Mobile_HPheaderJulySet4_button,51 ,
23001501,"August 30, 2020","August 30, 2020",30-08-2020,Mobile_HPheaderJulySet4_button,51 ,
21784199,"August 8, 2020","August 14, 2020",14-08-2020,Mobile_HPheaderJulySet4_button,50 ,
22644796,"August 23, 2020","August 23, 2020",23-08-2020,Mobile_HPheaderJulySet4_button,50 ,
22763457,"August 25, 2020","August 26, 2020",26-08-2020,Mobile_HPheaderJulySet4_button,49 ,
21149669,"July 28, 2020","July 28, 2020",28-07-2020,Mobile_HPheaderJulySet4_button,48 ,
22064590,"August 12, 2020","August 12, 2020",12-08-2020,Mobile_HPheaderJulySet4_button,48 ,
22896122,"August 28, 2020","August 28, 2020",28-08-2020,Mobile_HPheaderJulySet4_button,48 ,
22128936,"August 13, 2020","August 25, 2020",25-08-2020,Mobile_HPheaderJulySet4_button,47 ,
21849982,"August 9, 2020","August 9, 2020",09-08-2020,Mobile_HPheaderJulySet4_button,46 ,
21423843,"August 1, 2020","August 1, 2020",01-08-2020,Mobile_HPheaderJulySet4_button,44 ,
21427044,"August 1, 2020","August 1, 2020",01-08-2020,Mobile_HPheaderJulySet4_button,42 ,
22052569,"August 12, 2020","August 13, 2020",13-08-2020,Mobile_HPheaderJulySet4_button,42 ,
23049043,"August 31, 2020","August 31, 2020",31-08-2020,Mobile_HPheaderJulySet4_button,42 ,
21322734,"July 31, 2020","August 1, 2020",01-08-2020,Mobile_HPheaderJulySet4_button,41 ,
22707696,"August 24, 2020","August 26, 2020",26-08-2020,Mobile_HPheaderJulySet4_button,41 ,
22807681,"August 26, 2020","August 27, 2020",27-08-2020,Mobile_HPheaderJulySet4_button,41 ,
21733863,"August 7, 2020","August 7, 2020",07-08-2020,Mobile_HPheaderJulySet4_button,40 ,
22811353,"August 26, 2020","August 26, 2020",26-08-2020,Mobile_HPheaderJulySet4_button,40 ,
21672763,"August 6, 2020","August 6, 2020",06-08-2020,Mobile_HPheaderJulySet4_button,39 ,
21852394,"August 9, 2020","August 9, 2020",09-08-2020,Mobile_HPheaderJulySet4_button,37 ,
22562112,"August 21, 2020","August 21, 2020",21-08-2020,Mobile_HPheaderJulySet4_button,36 ,
22719972,"August 24, 2020","August 24, 2020",24-08-2020,Mobile_HPheaderJulySet4_button,36 ,
22852971,"August 27, 2020","August 28, 2020",28-08-2020,Mobile_HPheaderJulySet4_button,36 ,
21129213,"July 28, 2020","July 29, 2020",29-07-2020,Mobile_HPheaderJulySet4_button,34 ,
21760293,"August 7, 2020","August 8, 2020",08-08-2020,Mobile_HPheaderJulySet4_button,33 ,
22976762,"August 30, 2020","August 31, 2020",31-08-2020,Mobile_HPheaderJulySet4_button,33 ,
21342131,"July 31, 2020","July 31, 2020",31-07-2020,Mobile_HPheaderJulySet4_button,32 ,
21911421,"August 10, 2020","August 11, 2020",11-08-2020,Mobile_HPheaderJulySet4_button,32 ,
22268961,"August 16, 2020","August 16, 2020",16-08-2020,Mobile_HPheaderJulySet4_button,32 ,
22746921,"August 25, 2020","September 1, 2020",01-09-2020,Mobile_HPheaderJulySet4_button,32 ,
22530636,"August 21, 2020","August 24, 2020",24-08-2020,Mobile_HPheaderJulySet4_button,31 ,
21435988,"August 2, 2020","August 2, 2020",02-08-2020,Mobile_HPheaderJulySet4_button,30 ,
22310403,"August 17, 2020","August 17, 2020",17-08-2020,Mobile_HPheaderJulySet4_button,30 ,
21516559,"August 3, 2020","August 14, 2020",14-08-2020,Mobile_HPheaderJulySet4_button,29 ,
21862002,"August 9, 2020","August 9, 2020",09-08-2020,Mobile_HPheaderJulySet4_button,29 ,
22351904,"August 17, 2020","August 22, 2020",22-08-2020,Mobile_HPheaderJulySet4_button,29 ,
22553394,"August 21, 2020","August 21, 2020",21-08-2020,Mobile_HPheaderJulySet4_button,29 ,
22717492,"August 24, 2020","August 24, 2020",24-08-2020,Mobile_HPheaderJulySet4_button,28 ,
22996228,"August 30, 2020","August 30, 2020",30-08-2020,Mobile_HPheaderJulySet4_button,28 ,
23050947,"August 31, 2020","September 1, 2020",01-09-2020,Mobile_HPheaderJulySet4_button,28 ,
21310017,"July 30, 2020","July 30, 2020",30-07-2020,Mobile_HPheaderJulySet4_button,27 ,
21480523,"August 2, 2020","August 7, 2020",07-08-2020,Mobile_HPheaderJulySet4_button,27 ,
22486480,"August 20, 2020","August 20, 2020",20-08-2020,Mobile_HPheaderJulySet4_button,27 ,
21431650,"August 1, 2020","August 1, 2020",01-08-2020,Mobile_HPheaderJulySet4_button,26 ,
21805343,"August 8, 2020","August 15, 2020",15-08-2020,Mobile_HPheaderJulySet4_button,26 ,
21818920,"August 8, 2020","August 8, 2020",08-08-2020,Mobile_HPheaderJulySet4_button,26 ,
21365362,"July 31, 2020","August 1, 2020",01-08-2020,Mobile_HPheaderJulySet4_button,25 ,
21852907,"August 9, 2020","August 22, 2020",22-08-2020,Mobile_HPheaderJulySet4_button,25 ,
22036176,"August 12, 2020","August 13, 2020",13-08-2020,Mobile_HPheaderJulySet4_button,25 ,
22340233,"August 17, 2020","August 17, 2020",17-08-2020,Mobile_HPheaderJulySet4_button,25 ,
22756818,"August 25, 2020","August 25, 2020",25-08-2020,Mobile_HPheaderJulySet4_button,25 ,
22460510,"August 19, 2020","August 19, 2020",19-08-2020,Mobile_HPheaderJulySet4_button,24 ,
22570134,"August 21, 2020","August 25, 2020",25-08-2020,Mobile_HPheaderJulySet4_button,24 ,
21362780,"July 31, 2020","August 1, 2020",01-08-2020,Mobile_HPheaderJulySet4_button,23 ,
22270643,"August 16, 2020","August 16, 2020",16-08-2020,Mobile_HPheaderJulySet4_button,23 ,
22282834,"August 16, 2020","August 16, 2020",16-08-2020,Mobile_HPheaderJulySet4_button,23 ,
21198922,"July 29, 2020","July 29, 2020",29-07-2020,Mobile_HPheaderJulySet4_button,22 ,
22556097,"August 21, 2020","August 22, 2020",22-08-2020,Mobile_HPheaderJulySet4_button,22 ,
22813794,"August 26, 2020","August 27, 2020",27-08-2020,Mobile_HPheaderJulySet4_button,22 ,
22928409,"August 29, 2020","August 29, 2020",29-08-2020,Mobile_HPheaderJulySet4_button,22 ,
21469225,"August 2, 2020","August 2, 2020",02-08-2020,Mobile_HPheaderJulySet4_button,21 ,
21485702,"August 2, 2020","August 3, 2020",03-08-2020,Mobile_HPheaderJulySet4_button,21 ,
21760064,"August 7, 2020","August 7, 2020",07-08-2020,Mobile_HPheaderJulySet4_button,21 ,
22230209,"August 15, 2020","August 15, 2020",15-08-2020,Mobile_HPheaderJulySet4_button,21 ,
22480948,"August 20, 2020","August 24, 2020",24-08-2020,Mobile_HPheaderJulySet4_button,21 ,
21162415,"July 28, 2020","July 29, 2020",29-07-2020,Mobile_HPheaderJulySet4_button,20 ,
21789512,"August 8, 2020","August 19, 2020",19-08-2020,Mobile_HPheaderJulySet4_button,20 ,
22229324,"August 15, 2020","August 16, 2020",16-08-2020,Mobile_HPheaderJulySet4_button,20 ,
21337429,"July 31, 2020","August 1, 2020",01-08-2020,Mobile_HPheaderJulySet4_button,19 ,
21686690,"August 6, 2020","August 6, 2020",06-08-2020,Mobile_HPheaderJulySet4_button,19 ,
22486622,"August 20, 2020","August 31, 2020",31-08-2020,Mobile_HPheaderJulySet4_button,19 ,
21243998,"July 29, 2020","July 29, 2020",29-07-2020,Mobile_HPheaderJulySet4_button,18 ,
21601154,"August 4, 2020","August 4, 2020",04-08-2020,Mobile_HPheaderJulySet4_button,18 ,
21657414,"August 5, 2020","August 5, 2020",05-08-2020,Mobile_HPheaderJulySet4_button,18 ,
21648826,"August 5, 2020","August 5, 2020",05-08-2020,Mobile_HPheaderJulySet4_button,17 ,
22404013,"August 18, 2020","August 18, 2020",18-08-2020,Mobile_HPheaderJulySet4_button,17 ,
22480919,"August 20, 2020","August 20, 2020",20-08-2020,Mobile_HPheaderJulySet4_button,17 ,
21139139,"July 28, 2020","July 28, 2020",28-07-2020,Mobile_HPheaderJulySet4_button,15 ,
